0,Nome,0,Empresa,Departamento,0.00
440,Damian L. Aguilar,32,Lycos,Finances,5858.00
442,Cassady B. Howe,22,Adobe,Asset Management,3970.00
446,Angela U. Vaughan,23,Macromedia,Customer Relations,6313.00
465,Keelie C. Mccarty,44,Altavista,Media Relations,5817.00
468,Raymond E. Copeland,38,Apple Systems,Customer Relations,3260.00
473,Carolyn T. Wooten,50,Chami,Finances,4923.00
482,Grant O. Ellis,26,Google,Public Relations,6313.00
483,Heidi T. Bowers,51,Finale,Asset Management,8770.00
491,Blake T. Stone,65,Sibelius,Customer Relations,9866.00
500,Evangeline Y. Mclaughlin,34,Apple Systems,Payroll,3347.00
513,Xerxes M. Gates,35,Microsoft,Accounting,2897.00
521,Joy L. Mosley,21,Altavista,Sales and Marketing,8752.00
525,Irene L. Blankenship,34,Altavista,Sales and Marketing,7835.00
534,Abraham I. Moss,56,Lavasoft,Research and Development,8724.00
557,Lewis E. Hutchinson,36,Chami,Media Relations,5020.00
558,Jarrod L. Allison,69,Altavista,Customer Relations,3102.00
559,Curran I. Barry,36,Microsoft,Legal Department,5834.00
565,Wynne Z. Pruitt,43,Borland,Customer Relations,3625.00
566,Montana K. Atkinson,52,Borland,Media Relations,3437.00
568,Kamal T. Barron,26,Macromedia,Research and Development,3453.00
569,Hashim G. Guthrie,21,Apple Systems,Payroll,3019.00
570,Gareth N. Elliott,38,Google,Asset Management,6782.00
581,Shaine L. Reese,43,Sibelius,Finances,8880.00
582,Quon F. Graves,41,Lavasoft,Human Resources,5959.00
587,Fletcher T. Hull,50,Finale,Tech Support,3572.00
595,Laura Q. Norris,49,Chami,Legal Department,3297.00
603,Chelsea N. Franklin,57,Cakewalk,Payroll,5103.00
605,Samuel B. Roy,61,Macromedia,Public Relations,9309.00
609,Kyla O. Hyde,28,Lavasoft,Finances,7870.00
622,Jin T. Carson,59,Borland,Legal Department,8021.00
627,Amaya R. Snyder,40,Borland,Media Relations,7546.00
639,Lavinia S. Joseph,63,Yahoo,Legal Department,6933.00
649,Keiko Z. Garza,25,Finale,Research and Development,7847.00
652,Hope I. Barber,31,Altavista,Public Relations,4193.00
668,Dai Y. Wallace,60,Macromedia,Media Relations,3659.00
676,Abel J. Bonner,23,Lycos,Finances,1094.00
677,Lois G. Brewer,63,Chami,Customer Service,8771.00
679,Coby F. Allen,48,Cakewalk,Accounting,4648.00
691,Kyra L. King,46,Lycos,Sales and Marketing,2453.00
696,James H. Arnold,61,Google,Legal Department,5134.00
697,Levi H. Paul,20,Finale,Customer Relations,4154.00
702,Nathaniel Q. Castaneda,68,Lavasoft,Payroll,4174.00
709,Lucius A. Dillon,26,Yahoo,Research and Development,8931.00
710,Carissa F. Evans,61,Adobe,Asset Management,6807.00
713,Maile W. Wilkins,39,Google,Public Relations,6731.00
736,Matthew A. Lester,39,Adobe,Sales and Marketing,6576.00
739,Delilah Y. Cardenas,54,Sibelius,Legal Department,3073.00
747,Garrison S. Pacheco,67,Altavista,Asset Management,5864.00
763,Alexis Q. Hanson,37,Chami,Quality Assurance,9875.00
769,Harriet Y. Glenn,26,Yahoo,Human Resources,1668.00
778,Nadine B. Conley,52,Lavasoft,Finances,1382.00
780,Vladimir T. Murphy,32,Apple Systems,Media Relations,4571.00
781,Darrel X. Holden,57,Yahoo,Advertising,8321.00
802,Karleigh J. Roach,60,Apple Systems,Research and Development,9344.00
804,Angelica Q. Mooney,40,Lycos,Asset Management,5822.00
807,Tyler U. Salas,68,Google,Finances,9382.00
825,Benedict B. Kirkland,27,Microsoft,Tech Support,2057.00
829,Felicia Q. Ramsey,52,Finale,Media Relations,2973.00
830,Shelby K. Leblanc,55,Sibelius,Human Resources,4586.00
837,Emi I. Morales,62,Google,Tech Support,8506.00
844,Wynter U. Elliott,20,Cakewalk,Sales and Marketing,1904.00
845,Driscoll N. Berry,42,Sibelius,Research and Development,7989.00
846,Bruce Z. Hammond,54,Altavista,Quality Assurance,8854.00
851,Freya D. Cotton,49,Google,Customer Service,3479.00
852,Alfonso Z. Le,42,Lycos,Sales and Marketing,5849.00
869,Stuart V. Whitley,41,Sibelius,Human Resources,3841.00
872,Clarke T. Mathews,30,Adobe,Public Relations,6792.00
880,Whitney O. Kerr,55,Altavista,Sales and Marketing,5787.00
889,Anne A. Olsen,31,Yahoo,Finances,7602.00
900,Mara I. Boyle,38,Altavista,Public Relations,3010.00
901,Brian D. Whitley,53,Adobe,Sales and Marketing,5393.00
911,Nash D. Cantrell,26,Lavasoft,Quality Assurance,5639.00
914,Jessamine L. Dean,69,Adobe,Finances,6181.00
918,Athena Y. Ortega,51,Macromedia,Customer Service,3891.00
919,Armand A. Hill,66,Chami,Customer Service,4397.00
920,Maris T. Rogers,50,Chami,Customer Service,2542.00
945,Adele X. Knowles,54,Microsoft,Accounting,4734.00
947,Tyrone G. Berry,19,Altavista,Tech Support,5309.00
950,Gillian R. Bauer,23,Chami,Quality Assurance,4092.00
951,Octavia X. Ramos,50,Google,Human Resources,3204.00
952,Haley U. Prince,58,Lycos,Sales and Marketing,6266.00
955,Mufutau M. Mercado,37,Google,Research and Development,1693.00
963,Lee K. Ortiz,57,Lycos,Payroll,9844.00
964,Ezra O. Sawyer,54,Adobe,Legal Department,1545.00
965,Ivy R. Scott,44,Finale,Payroll,9912.00
977,Wade Y. Pena,49,Yahoo,Legal Department,8297.00
991,Neville V. James,67,Borland,Payroll,3511.00
992,Jada A. Randolph,29,Adobe,Finances,9238.00
1005,Gray S. Joyner,36,Borland,Sales and Marketing,7876.00
1007,Quinn K. Munoz,42,Borland,Legal Department,6668.00
1020,Beau A. Oneill,55,Chami,Accounting,8679.00
1025,Lavinia I. Chen,40,Altavista,Asset Management,7995.00
1033,Suki Q. Branch,21,Lavasoft,Accounting,4293.00
1034,Solomon E. Simmons,61,Borland,Public Relations,8443.00
1036,Susan C. Ewing,65,Yahoo,Tech Support,7684.00
1039,Igor U. Hardy,40,Lavasoft,Tech Support,9776.00
1040,Neve V. Shelton,27,Lavasoft,Sales and Marketing,1405.00
1041,Damian Z. Lewis,70,Finale,Advertising,5029.00
1046,Paki J. Bond,39,Macromedia,Payroll,3443.00
1055,Xandra W. Alford,43,Google,Human Resources,9816.00
1056,Octavius Q. Reed,25,Lycos,Research and Development,5749.00
1059,Jayme W. Farley,19,Google,Accounting,7143.00
1060,Tiger F. Bridges,61,Lycos,Quality Assurance,6980.00
1072,Kirby K. Mejia,47,Lavasoft,Finances,5803.00
1078,Molly A. Maxwell,70,Macromedia,Advertising,5496.00
1095,Lara O. Sawyer,40,Yahoo,Research and Development,9379.00
1097,Samuel F. Calderon,52,Adobe,Media Relations,5024.00
1101,Rahim T. Watson,70,Yahoo,Customer Service,5023.00
1105,Declan D. Oconnor,50,Microsoft,Research and Development,4851.00
1120,Remedios E. Cameron,66,Cakewalk,Human Resources,8571.00
1121,Kai L. Rose,61,Borland,Advertising,9508.00
1122,Armando R. Mack,60,Google,Sales and Marketing,4321.00
1126,Solomon G. Fuller,38,Chami,Customer Relations,1691.00
1131,Natalie T. Nicholson,51,Sibelius,Sales and Marketing,6197.00
1134,Hammett N. Gordon,43,Microsoft,Public Relations,2646.00
1143,Bruno I. Copeland,44,Adobe,Asset Management,7848.00
1144,Lila M. Caldwell,47,Apple Systems,Accounting,6153.00
1146,Chaney A. Mccall,51,Macromedia,Quality Assurance,2354.00
1165,Moses R. Walters,44,Altavista,Tech Support,7897.00
1172,Adam P. Mcgee,62,Microsoft,Accounting,5731.00
1175,Claudia K. Black,33,Altavista,Media Relations,6365.00
1179,Ginger F. Booker,52,Lycos,Customer Relations,4070.00
1183,Piper A. Giles,55,Sibelius,Media Relations,8082.00
1189,Kevyn Y. Mcknight,42,Adobe,Legal Department,2362.00
1191,Aladdin M. Short,63,Altavista,Accounting,1149.00
1198,Jamalia E. Miller,55,Google,Finances,9556.00
1209,Xyla P. Mason,37,Sibelius,Human Resources,7846.00
1218,Acton H. Whitfield,33,Microsoft,Payroll,9373.00
1222,Aquila W. Tucker,23,Altavista,Quality Assurance,3978.00
1241,Belle F. Marsh,29,Yahoo,Payroll,7968.00
1251,Silas P. Dickson,45,Macromedia,Quality Assurance,1638.00
1256,Zorita D. Bentley,30,Sibelius,Accounting,2689.00
1261,Wang M. Greer,53,Google,Customer Relations,9038.00
1263,Chester J. Hartman,55,Lycos,Legal Department,6588.00
1264,Brooke Q. Hernandez,59,Sibelius,Advertising,7289.00
1273,Jescie D. Owens,20,Microsoft,Sales and Marketing,6443.00
1279,Kai U. Barlow,25,Yahoo,Finances,4354.00
1283,Remedios V. Cooke,39,Sibelius,Advertising,9244.00
1291,Nathan H. Moody,64,Adobe,Tech Support,1568.00
1293,Deacon F. Barton,57,Altavista,Media Relations,2036.00
1296,Hop L. Horton,30,Chami,Customer Relations,3784.00
1297,Hilel B. Beck,34,Chami,Accounting,5275.00
1299,Yetta P. Diaz,62,Chami,Advertising,7400.00
1314,Elmo G. Boone,36,Lycos,Media Relations,7983.00
1318,Cleo M. Carver,47,Macromedia,Legal Department,2072.00
1322,Chase V. Jarvis,55,Yahoo,Tech Support,7612.00
1327,Chelsea B. Johnston,40,Microsoft,Research and Development,7903.00
1350,Stephen T. Smith,25,Finale,Payroll,2800.00
1353,Yen H. Rasmussen,38,Lycos,Asset Management,6878.00
1354,May M. Lindsey,70,Sibelius,Quality Assurance,8709.00
1360,Alice O. Benjamin,31,Lavasoft,Tech Support,1239.00
1362,Imani D. Daugherty,66,Lavasoft,Sales and Marketing,3691.00
1388,Halla P. Dennis,68,Altavista,Asset Management,1711.00
1415,Wayne E. Ellis,56,Finale,Sales and Marketing,1942.00
1416,Kalia H. Macdonald,35,Microsoft,Legal Department,3441.00
1422,Aladdin L. Booker,41,Lavasoft,Legal Department,4852.00
1426,Clinton U. Bryant,57,Altavista,Advertising,1230.00
1429,Pearl V. Perkins,28,Macromedia,Public Relations,6545.00
1463,Ulla L. Mullen,34,Chami,Human Resources,8714.00
1470,Signe W. Morse,18,Finale,Tech Support,5266.00
1473,Tanek C. Adams,22,Altavista,Finances,5934.00
1475,Kevin V. Bauer,35,Google,Sales and Marketing,6505.00
1485,Fleur Z. Curtis,67,Sibelius,Accounting,8720.00
1486,Brock D. Roman,22,Lavasoft,Research and Development,6767.00
1490,Fletcher B. Hyde,45,Adobe,Public Relations,4975.00
1495,Keelie G. Vaughan,65,Macromedia,Finances,5810.00
1507,Logan V. Hendricks,34,Chami,Human Resources,5033.00
1515,Marsden I. Eaton,52,Microsoft,Public Relations,8750.00
1518,Jacob B. Glover,54,Apple Systems,Legal Department,3703.00
1519,Neville A. Cardenas,49,Cakewalk,Customer Service,4470.00
1522,Jesse U. Grimes,46,Apple Systems,Customer Relations,1856.00
1524,Cassady W. Rios,60,Google,Human Resources,9980.00
1525,Steel I. Herring,46,Altavista,Customer Service,6875.00
1535,Tad I. Kim,19,Lycos,Advertising,6538.00
1551,Halla J. Rocha,45,Finale,Finances,2151.00
1557,Kirby E. Cardenas,45,Macromedia,Advertising,9118.00
1559,Yen F. Buck,30,Altavista,Customer Service,2396.00
1567,Jared U. Gomez,23,Yahoo,Quality Assurance,3076.00
1573,Nero Z. Norton,67,Finale,Research and Development,6901.00
1578,Herrod O. Kim,39,Finale,Finances,5953.00
1581,Lucas H. Adams,39,Cakewalk,Human Resources,9164.00
1600,Cadman P. Flynn,65,Altavista,Customer Relations,5917.00
1609,Malcolm H. Hooper,52,Apple Systems,Customer Relations,9120.00
1612,Brenna U. Glover,51,Finale,Customer Service,2115.00
1618,Candace E. Kerr,52,Lavasoft,Advertising,8676.00
1634,Yael W. Downs,66,Lavasoft,Tech Support,4269.00
1637,Nicholas G. Marks,42,Yahoo,Quality Assurance,3227.00
1648,Lydia E. Powell,23,Cakewalk,Accounting,7373.00
1656,Tatyana V. Manning,34,Cakewalk,Asset Management,4874.00
1658,Grace P. Robles,65,Microsoft,Media Relations,1912.00
1659,Hannah F. Cherry,21,Macromedia,Customer Service,7230.00
1662,Yoko N. Williamson,60,Chami,Advertising,6418.00
1669,Olga C. Moody,53,Cakewalk,Tech Support,3515.00
1684,Timon K. Dyer,66,Yahoo,Customer Relations,4127.00
1689,Kirk L. Tillman,42,Lycos,Tech Support,2280.00
1691,Danielle L. Baldwin,51,Cakewalk,Asset Management,3743.00
1697,Irene O. Castillo,63,Google,Asset Management,5381.00
1699,Kirsten N. Bass,22,Lavasoft,Payroll,9585.00
1703,Lael G. Cook,35,Cakewalk,Payroll,2121.00
1716,Michelle L. Hubbard,35,Macromedia,Legal Department,9743.00
1717,Lenore C. Holcomb,49,Cakewalk,Customer Service,2289.00
1720,Logan A. Sellers,19,Lycos,Legal Department,4711.00
1756,Bernard U. Schroeder,27,Sibelius,Payroll,5459.00
1758,Taylor K. Pope,68,Chami,Accounting,5496.00
1759,Chaim N. Gamble,32,Altavista,Accounting,8081.00
1762,Leilani V. Lindsay,35,Finale,Customer Relations,2652.00
1772,Teegan R. Dejesus,34,Macromedia,Customer Relations,4298.00
1773,Christine Z. Collins,35,Apple Systems,Accounting,8304.00
1783,Len W. Levy,41,Finale,Customer Relations,3682.00
1784,Colt K. Adkins,41,Macromedia,Customer Service,2658.00
1790,Tyrone Z. Carr,34,Lavasoft,Finances,8575.00
1797,TaShya M. Johnston,18,Chami,Quality Assurance,3140.00
1804,Bianca V. Osborne,19,Chami,Media Relations,4053.00
1812,Rebekah G. Howard,43,Yahoo,Sales and Marketing,7633.00
1813,Boris E. Cox,42,Adobe,Accounting,5591.00
1825,Lynn I. Hampton,57,Microsoft,Finances,8936.00
1836,Chanda A. Justice,27,Microsoft,Legal Department,5176.00
1842,Jordan C. Conner,19,Cakewalk,Advertising,4543.00
1858,Ashely E. Wilkins,22,Finale,Payroll,2736.00
1860,Charles L. Beasley,65,Altavista,Accounting,8163.00
1881,Dexter Q. Mays,50,Apple Systems,Asset Management,2934.00
1889,Rudyard I. Bolton,57,Sibelius,Tech Support,8697.00
1892,Orson L. Hendrix,48,Borland,Finances,7261.00
1915,Lydia Z. Santiago,54,Lavasoft,Human Resources,3049.00
1919,Irma B. Watson,26,Lycos,Payroll,2945.00
1929,Abra R. Spencer,35,Yahoo,Public Relations,8913.00
1948,Faith H. Short,24,Sibelius,Finances,8027.00
1952,Kaitlin M. Schmidt,36,Lycos,Media Relations,1911.00
1956,Jenette C. Snyder,66,Microsoft,Payroll,5621.00
1957,Kai I. Conrad,43,Google,Finances,3137.00
1970,Savannah D. Chen,27,Cakewalk,Human Resources,9718.00
1975,Sheila I. Ingram,50,Macromedia,Human Resources,3666.00
1977,Kai D. Oneal,63,Microsoft,Accounting,7723.00
1994,Kareem S. Kline,45,Macromedia,Payroll,2391.00
2010,Sacha A. Whitehead,67,Borland,Finances,1105.00
2014,Cora S. Mcintyre,54,Macromedia,Customer Service,5865.00
2015,Wyatt J. Deleon,33,Sibelius,Quality Assurance,7000.00
2040,Halla H. Obrien,46,Yahoo,Finances,4692.00
2042,Cruz G. Shaffer,55,Sibelius,Asset Management,8376.00
2043,Lois D. Reynolds,28,Chami,Media Relations,2705.00
2048,Cheryl T. Watts,58,Chami,Public Relations,2930.00
2050,Jena J. Gaines,21,Lycos,Payroll,5136.00
2051,Wallace Y. Vargas,37,Altavista,Customer Relations,9372.00
2060,Ivor Y. Flores,42,Lycos,Customer Relations,5735.00
2063,Anika Q. Levy,46,Sibelius,Human Resources,7319.00
2086,Gisela H. Greer,28,Altavista,Human Resources,8828.00
2099,Asher E. Hooper,56,Yahoo,Sales and Marketing,3404.00
2114,September C. Grimes,21,Finale,Finances,6230.00
2117,Demetrius D. Soto,68,Cakewalk,Finances,4384.00
2131,Odette V. Eaton,24,Apple Systems,Payroll,3854.00
2134,Martin E. Carver,29,Google,Sales and Marketing,4417.00
2143,Denton E. Morin,56,Apple Systems,Payroll,3317.00
2148,Declan V. Pollard,39,Lavasoft,Advertising,4681.00
2158,Savannah F. Holcomb,27,Macromedia,Finances,8423.00
2164,Jelani R. Stark,68,Sibelius,Payroll,2681.00
2181,Grace L. Duffy,36,Adobe,Finances,2850.00
2184,Troy H. Puckett,52,Adobe,Finances,9478.00
2185,Meghan J. Blackwell,65,Lycos,Sales and Marketing,5499.00
2195,Griffin Z. Wolf,40,Chami,Media Relations,3635.00
2215,Isaac H. Chavez,56,Altavista,Legal Department,2738.00
2217,Jessica G. Campbell,52,Sibelius,Finances,8326.00
2228,Griffith X. Bates,30,Sibelius,Media Relations,8432.00
2256,Regan P. Winters,44,Lycos,Human Resources,6931.00
2260,Azalia T. Gates,44,Microsoft,Media Relations,5217.00
2275,Xenos R. Houston,22,Yahoo,Public Relations,8857.00
2277,Stephanie X. Benjamin,18,Adobe,Legal Department,5800.00
2278,Basil R. Blake,42,Google,Payroll,7427.00
2283,Nero Q. Beasley,23,Altavista,Public Relations,9154.00
2290,Kamal E. Meadows,67,Finale,Research and Development,8298.00
2299,Doris S. Bishop,42,Finale,Public Relations,6222.00
2308,Herrod Y. Douglas,21,Google,Customer Service,5157.00
2318,Noah E. Hudson,40,Yahoo,Advertising,9065.00
2330,Boris V. Gill,24,Sibelius,Customer Relations,2277.00
2332,Kyla N. Sosa,70,Altavista,Advertising,7418.00
2336,Hu V. Hopper,45,Altavista,Finances,7867.00
2340,Xandra V. Estrada,55,Google,Advertising,2225.00
2344,Wynne I. Charles,29,Lycos,Legal Department,9426.00
2346,Orlando B. Michael,22,Sibelius,Media Relations,1056.00
2355,Marvin S. Oneill,30,Cakewalk,Research and Development,6512.00
2358,Xena C. Simmons,30,Finale,Public Relations,4065.00
2360,Octavius S. Branch,26,Chami,Legal Department,4049.00
2394,Owen Q. Lloyd,26,Microsoft,Sales and Marketing,3899.00
2397,Sierra U. Lambert,49,Google,Accounting,9530.00
2398,Vanna B. Justice,22,Finale,Customer Service,2342.00
2399,Lacy M. Justice,31,Lycos,Customer Service,7650.00
2409,Vance W. Berg,31,Yahoo,Research and Development,6430.00
2412,Ahmed H. Alvarez,38,Macromedia,Accounting,4472.00
2421,Berk R. Hart,23,Borland,Customer Service,2536.00
2422,Kay Z. Willis,49,Lavasoft,Media Relations,3780.00
2450,Lucas V. Gill,36,Finale,Quality Assurance,8231.00
2463,Aphrodite N. Harrell,44,Apple Systems,Tech Support,5992.00
2469,Echo T. Whitney,46,Macromedia,Public Relations,3458.00
2471,Denise C. Tucker,44,Yahoo,Quality Assurance,4527.00
2483,Vielka U. Jacobson,53,Sibelius,Media Relations,4369.00
2489,Tatum T. Humphrey,27,Macromedia,Tech Support,6367.00
2516,Shaine C. Leonard,31,Yahoo,Asset Management,9776.00
2517,Karina Y. Mckay,66,Lycos,Media Relations,1616.00
2522,Lewis G. Prince,31,Yahoo,Sales and Marketing,8893.00
2523,Mohammad M. Rhodes,21,Yahoo,Media Relations,5765.00
2524,Lee I. Morton,66,Apple Systems,Research and Development,6852.00
2527,Samantha N. Mcintosh,41,Borland,Customer Relations,1129.00
2529,Colton K. Pope,70,Altavista,Tech Support,3020.00
2549,Akeem L. Weeks,37,Sibelius,Customer Service,7766.00
2559,Thomas N. Marshall,50,Microsoft,Sales and Marketing,8876.00
2585,Raven L. Hodge,65,Sibelius,Tech Support,8245.00
2586,Sacha N. Sims,56,Yahoo,Accounting,3929.00
2588,Chiquita B. Duran,42,Finale,Advertising,8927.00
2592,Henry D. Carson,37,Macromedia,Public Relations,6703.00
2600,Chaim T. Hahn,61,Chami,Quality Assurance,1194.00
2603,Daphne K. Benjamin,50,Altavista,Customer Relations,4394.00
2607,Rashad U. Preston,49,Borland,Accounting,3617.00
2611,Hermione D. King,23,Microsoft,Media Relations,5787.00
2612,Hunter F. Puckett,56,Altavista,Media Relations,4416.00
2613,Honorato O. Molina,59,Borland,Advertising,2591.00
2615,Samson J. Roberson,62,Yahoo,Advertising,8065.00
2621,Leigh Y. Crawford,31,Microsoft,Finances,1458.00
2623,Fletcher C. Oneill,58,Lycos,Tech Support,5135.00
2625,Malik F. Goodwin,29,Lycos,Accounting,2408.00
2650,Kerry P. Trujillo,27,Altavista,Media Relations,7284.00
2651,Tanner A. Baxter,56,Google,Public Relations,4201.00
2658,Galvin C. Curry,45,Google,Quality Assurance,8879.00
2672,Stacy X. Joyce,19,Microsoft,Finances,5011.00
2673,Cecilia N. Boyle,58,Adobe,Human Resources,6222.00
2678,Wendy N. Baird,18,Google,Public Relations,8917.00
2683,Dane S. Adkins,57,Cakewalk,Finances,6501.00
2703,Levi A. Navarro,32,Microsoft,Public Relations,1151.00
2710,Bell Q. Cochran,28,Sibelius,Human Resources,9161.00
2739,Jana D. Alvarez,24,Lavasoft,Human Resources,3199.00
2748,Nell S. Simmons,38,Macromedia,Public Relations,1207.00
2753,Rachel S. Nolan,50,Macromedia,Advertising,8906.00
2781,Isadora W. Floyd,54,Sibelius,Legal Department,7829.00
2791,Christine L. Zamora,50,Yahoo,Customer Service,3645.00
2792,Halla F. Baxter,38,Macromedia,Payroll,3219.00
2796,Flavia Z. Jarvis,18,Altavista,Legal Department,1498.00
2803,Yael C. Delgado,70,Macromedia,Customer Relations,6023.00
2808,Morgan S. Leonard,22,Chami,Human Resources,3140.00
2821,Freya D. Perkins,25,Lycos,Advertising,6692.00
2830,Alfreda V. Daugherty,69,Google,Advertising,7640.00
2834,Celeste U. Hayden,62,Yahoo,Sales and Marketing,7659.00
2837,Evangeline Z. Hamilton,53,Lycos,Legal Department,7137.00
2857,Hoyt S. Heath,24,Lavasoft,Advertising,6281.00
2862,Eleanor Y. Hatfield,50,Adobe,Customer Service,3266.00
2864,Erasmus Z. Foster,59,Google,Advertising,6799.00
2870,Leila S. Kidd,19,Finale,Asset Management,1672.00
2871,Brooke K. Reynolds,34,Lavasoft,Customer Service,6144.00
2873,Ann G. Logan,38,Adobe,Tech Support,2335.00
2880,Jael B. Mathis,26,Finale,Public Relations,5841.00
2896,Nero A. Dejesus,49,Google,Finances,8370.00
2905,Silas V. Coleman,24,Lavasoft,Tech Support,1109.00
2910,Daphne C. Acosta,25,Chami,Tech Support,9146.00
2944,Cassidy N. Guthrie,35,Chami,Asset Management,6076.00
2960,Samson B. Pugh,38,Chami,Legal Department,2344.00
2967,Tatum O. Holden,58,Borland,Media Relations,7162.00
2970,Nomlanga S. Richards,57,Altavista,Asset Management,7438.00
2975,Zorita E. Tucker,59,Macromedia,Finances,7840.00
2976,Gray A. Odom,67,Lavasoft,Accounting,5163.00
2979,Hunter N. Ballard,39,Apple Systems,Legal Department,7989.00
2987,Ariel Q. Gomez,53,Google,Quality Assurance,3527.00
2990,Quail L. Rogers,70,Google,Research and Development,5515.00
2998,Sonya P. Miranda,62,Borland,Payroll,6448.00
3000,Dean R. Irwin,31,Chami,Quality Assurance,2210.00
3014,Dolan K. Ortega,67,Google,Advertising,7088.00
3019,Rinah S. Bass,20,Yahoo,Sales and Marketing,3626.00
3021,Gray T. Vance,51,Lavasoft,Media Relations,2562.00
3024,Venus G. Moody,35,Lycos,Accounting,3076.00
3025,Zeph P. Craig,56,Lycos,Advertising,7324.00
3034,Alexander L. Fowler,57,Chami,Quality Assurance,6990.00
3038,Tate S. Vaughan,18,Macromedia,Human Resources,4914.00
